a0,a2,a3,a4,a7,a10,class
161.815566,0.146992,8.289524,0.021452,-0.073867,204875.9257,ESCS
145.901031,0.156541,8.230644,0.021816,-0.112987,180985.5354,ESCS
137.940202,0.166526,8.175916,0.018024,-0.087657,159128.6275,ESCS
131.684124,0.181906,8.100313,0.015557,-0.150135,141772.2293,ESCS
212.473865,0.140658,8.60387,0.004088,-0.226717,569400.075,ESCS
276.153798,0.128409,8.593883,0.004358,-0.271353,743946.9923,ESCS
288.286451,0.156271,8.460473,0.001347,-0.280436,1435386.581,ESCS
378.835631,0.242056,7.981301,0.001751,-0.089173,3589972.396,ESCS
352.198811,0.24348,8.001203,0.001686,-0.037991,3377757.336,ESCS
335.215247,0.238001,8.04652,0.001783,-0.009648,3227636.235,ESCS
310.727287,0.22515,8.150974,0.002128,0.085502,2830675.359,ESCS
187.308609,0.200469,8.351798,0.002484,-0.0092,811473.236,ESCS
176.333911,0.204483,8.240833,0.00463,0.063072,716713.6654,ESCS
152.264831,0.206813,8.096296,0.006837,0.171023,491235.2284,ESCS
153.064713,0.200731,8.100715,0.007791,0.198124,449740.5122,ESCS
156.920969,0.195202,8.100972,0.009141,0.180452,449766.2869,ESCS
278.528857,0.127363,8.605635,0.00439,-0.243859,888579.3229,ESCS
161.907196,0.192072,8.243911,0.007237,0.116908,539007.0109,ESCS
164.387405,0.189999,8.23062,0.007551,0.120242,564283.0184,ESCS
159.033265,0.191415,8.201525,0.008006,0.152496,479688.8828,ESCS
156.879463,0.191883,8.206584,0.009312,0.091799,455408.2574,ESCS
147.27033,0.2022,8.129495,0.007897,0.100531,435254.9631,ESCS
203.684323,0.203553,8.154185,0.006895,0.107231,915262.6715,ESCS
214.503865,0.198414,8.206779,0.007011,0.100175,930609.5224,ESCS
224.835267,0.1963,8.239319,0.007566,0.072275,1013024.348,ESCS
247.399144,0.192248,8.332308,0.005715,0.023716,1260539.308,ESCS
302.169391,0.163872,8.619546,0.003463,-0.051569,2186515.043,ESCS
264.053548,0.115426,8.640125,0.004946,-0.110594,894961.513,ESCS
365.007076,0.192572,8.453811,0.001817,-0.148717,3748017.663,ESCS
215.268485,0.237086,8.008622,0.002512,-0.12889,854716.0111,ESCS
208.117095,0.235375,8.037645,0.002508,-0.17039,806024.4232,ESCS
206.046287,0.22676,8.135167,0.002543,-0.183555,697400.661,ESCS
360.229756,0.221261,8.203243,0.002266,-0.226609,2466554.847,ESCS
293.870035,0.200595,8.292128,0.003565,-0.159612,1527433.258,ESCS
273.100573,0.204205,8.157292,0.004512,-0.098969,1227766.004,ESCS
268.713828,0.218438,8.082303,0.005853,-0.061211,1127649.733,ESCS
286.85777,0.218927,7.997525,0.009116,0.060754,1063165.284,ESCS
287.279816,0.216729,7.994362,0.009786,0.057336,1138288.23,ESCS
218.517945,0.128091,8.518781,0.006902,-0.072091,687312.9576,ESCS
272.386501,0.242604,7.860153,0.008906,0.106546,1136378.889,ESCS
272.386501,0.242604,7.860153,0.008906,0.106546,1136378.889,ESCS
272.386501,0.242604,7.860153,0.008906,0.106546,1136378.889,ESCS
292.950727,0.25049,7.713244,0.008005,0.109121,1464132.524,ESCS
292.950727,0.25049,7.713244,0.008005,0.109121,1464132.524,ESCS
366.632344,0.233264,8.118373,0.00266,-0.083959,3020775.44,ESCS
201.217198,0.286572,7.703925,0.001291,-0.165896,1145017.377,ESCS
194.806047,0.283206,7.763353,0.001318,-0.200226,991117.1123,ESCS
270.668881,0.263586,8.060952,0.001196,-0.233558,2227318.706,ESCS
247.656883,0.242808,7.926439,0.007518,0.109321,1093923.233,ESCS
151.209231,0.141508,8.408321,0.006901,-0.151086,183360.902,ESCS
143.277242,0.259531,7.735121,0.014093,0.051473,494100.3407,ESCS
171.440161,0.2769,7.477707,0.015151,0.009881,628244.0417,ESCS
145.967456,0.28088,7.417304,0.014263,-0.016311,477306.3294,ESCS
148.374777,0.279894,7.359793,0.012914,-0.049806,477275.2659,ESCS
160.556133,0.264492,7.658583,0.007763,-0.158085,615231.5547,ESCS
183.682102,0.271556,7.733411,0.002501,-0.284854,899469.7362,ESCS
188.878797,0.306811,7.504236,0.001883,-0.290877,918404.3755,ESCS
203.036909,0.317385,7.434884,0.001684,-0.280821,1121236.864,ESCS
212.098306,0.322901,7.400503,0.001598,-0.297029,1122589.063,ESCS
215.353385,0.324438,7.405195,0.001535,-0.29228,1094310.38,ESCS
140.007952,0.161557,8.256409,0.009172,-0.081222,176833.4163,ESCS
213.591674,0.32061,7.436223,0.001539,-0.296392,1078731.306,ESCS
210.748614,0.319384,7.447265,0.001599,-0.298247,1038385.05,ESCS
214.305087,0.314229,7.48004,0.001617,-0.317614,1026189.041,ESCS
188.911797,0.299122,7.618822,0.002056,-0.332177,742408.2312,ESCS
215.335184,0.26211,7.960957,0.001667,-0.226476,1077253.102,ESCS
182.619396,0.239087,7.910422,0.005606,-0.112048,773013.3604,ESCS
167.704474,0.247318,7.646482,0.009226,-0.061283,615908.7677,ESCS
156.107291,0.261282,7.51406,0.012055,-0.010831,544620.3927,ESCS
151.430523,0.267104,7.458595,0.016052,0.006711,530707.3525,ESCS
197.314524,0.258948,7.587003,0.017599,-0.001986,827551.9795,ESCS
125.907122,0.173764,8.135367,0.010571,-0.144708,125197.9092,ESCS
197.140504,0.265615,7.576727,0.017709,0.013228,817566.7211,ESCS
258.227004,0.201846,8.383317,0.003865,0.017112,933369.5865,ESCS
273.810221,0.198094,8.422617,0.003231,0.00978,979506.7999,ESCS
394.080376,0.20746,8.569097,0.000972,-0.082415,2261045.149,ESCS
585.546412,0.268775,8.098053,0.000565,-0.133193,4848446.619,ESCS
613.445093,0.283575,8.007137,0.000544,-0.057323,5310168.122,ESCS
642.558884,0.287177,7.974172,0.000541,-0.007194,5774439.403,ESCS
630.989275,0.28834,7.966674,0.000541,0.046662,5381054.693,ESCS
635.813645,0.285685,7.953542,0.000537,0.057414,5727774.638,ESCS
630.409021,0.288183,7.927636,0.000537,0.046525,5691679.262,ESCS
129.316026,0.160048,8.178337,0.013089,-0.114426,117477.3555,ESCS
622.983683,0.28587,7.928574,0.000523,0.071765,5669759.655,ESCS
675.494062,0.316598,7.68941,0.000428,0.01987,6924133.022,ESCS
644.503154,0.308037,7.728195,0.000461,0.104243,6501985.563,ESCS
731.492208,0.302741,7.75609,0.000487,0.141322,8123189.539,ESCS
710.784201,0.291778,7.83166,0.000502,0.147326,7629590.189,ESCS
630.712188,0.26363,8.063209,0.000592,0.150039,5755883.405,ESCS
531.115948,0.256815,8.154379,0.000727,0.129335,4374871.234,ESCS
463.492648,0.243617,8.25301,0.000966,0.158169,3423737.488,ESCS
